epoch	avg    	std    	min	max
0    	17.2   	10.0678	8  	49 
1    	31.6667	22.5645	10 	104
2    	70.1   	27.3   	8  	108
3    	78.2   	22.2342	10 	100
4    	91.7   	20.5299	77 	198
5    	104.5  	38.7494	34 	217
6    	163.167	83.7226	34 	500
7    	192.667	88.5462	26 	500
8    	224.867	110.621	18 	500
9    	337.433	145.863	79 	500
10   	419.1  	107.707	167	500
11   	437.767	103.909	72 	500
12   	391.133	127.34 	120	500
13   	411.833	111.511	114	500
14   	400.067	139.069	14 	500
15   	406.267	113.015	107	500
16   	421.5  	96.3105	209	500
17   	391.6  	127.406	13 	500
18   	427.767	100.047	86 	500
19   	453.2  	89.1323	211	500
